,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,1A uki,https://play-lh.googleusercontent.com/a-/AOh14Ghe2jfiKZ6oGamW-g00c9kuc24Tw2zLtDtsV9nI2w,"Esse jogo foi feito para ser jogado com a internet desligada, fica melhor porque assim não aparece anúncios toda hora, e é por esse motivo quadros estrelas, tem muito anúncio, antes não tinha tanto assim, mas as fases são bem legais uma hora ou outra eu me prendo em uma, o gráfico são algo que deixa o jogo mais agradável e a melhor parte é que ele não enjoa, tipo vicia mas de um jeito legal, todo dia uma ou vinte fases",4,4,3.2.0.45,2020-11-06 11:30:48
1,shinokai,https://play-lh.googleusercontent.com/a-/AOh14GhwRshfPDS1UwONYDasr16uykOVhxsFNe1UFDhs_A,Eu jogava esse jogo deis de 2013 sempre joguei com meu irmão já que eu achava bastante difícil as partes mais era bem daora eu admirava os gráficos e o estilo do jogo eu pensava que era do mesmo criador de limbo:)mais o jogo e incrível e sempre será....se um dia o criador quiser criar um 2jogo dele:)com mais coisas séria bem daora,5,4,3.2.0.45,2020-11-06 01:25:28
2,Sávio Oliveira Ramos,https://play-lh.googleusercontent.com/a-/AOh14GjWf3QiSTlJyQaXXNaUYjqPOs8J_b0EEi7RFSU9,"O joguinho é legal, o único porém é eu mesmo, já que eu comecei a jogar este jogo hj achando que eu ia jogar um jogo de plataforma msm, q é como ele está cadastrado no Google Play. Tava querendo jogar uma coisa um pouco diferente, mas ele tem a msm mecânica do Jetpack Joyride. Mas o jogo em si é bom, com gráficos bonitos, e com uma temática completamente diferente do ""Jetpack"", claro!...",4,44,3.2.0.45,2020-10-10 16:20:21
3,joão pedro,https://play-lh.googleusercontent.com/a-/AOh14Ghu9qvYMeGUwo0ninNdBEZK_f_wVdhmPhZ8K1eI,"Esse jogo era muito melhor antigamente, os gráficos e o som ainda estão ótimos, mas a cada 5 segundos tem um propaganda que quando você tenta fechar a propaganda ela te manda para a app story do mesmo geito. Na minha opinião isso foi oque estragou o jogo",2,8,3.2.0.45,2020-11-04 22:31:28
4,•Esdras Gacha•,https://play-lh.googleusercontent.com/a-/AOh14Ginm0kqcDPcGr1bJ5OgKsasJjxsaHnWOp4O0KSE,"O jogo é bonito, te faz querer jogar mais e mais! Só q tem um GRAAAANDE problema(eu jogo pela TV), depois de 10 fases(se eu não me engano),É TUDO PAGO!!! Como vocês querem que a gente compre,se vocês deixam a gente jogar apenas 10 níveis! Da próxima deixem o app inteiro pago de uma vez!)=(",3,86,3.2.0.45,2020-09-28 21:34:33
5,Nigamer BTD,https://play-lh.googleusercontent.com/a-/AOh14GhBd2bc6vSIENuXEqcSfoCzyL8Zf6D2QCSjLPKV,"Cara sem dúvida um dos melhores jogos da minha vida! Porém... Em relação á criação de levels é complicado a gente entender como se fala tal coisa por exemplo: movimentação , redução ou aumento de tamanho... É TUDO EM INGLES MANO acho q eu entenderia muito melhor se desse pra botar em português e também pra começar a fazer níveis mais cedo pois pegar 150 clone é muito chato mano!",4,54,3.2.0.45,2020-10-04 13:08:03
6,OtavioLorenzo Gamer,https://play-lh.googleusercontent.com/a-/AOh14GhR_9tfbP24vCaCIds7meNbK61dndFsqGl8KxIz,maravilhoso eu sei que as fases ficam difíceis mais eu juro que com o treino fica mais fácil recomendo muito esse é um jogo da minha infância quando meu primo ficava na minha casa antiga agente jogava e foi muito difícil para eu encontrar ele me preocupei com outras coisas mas esse mês (agosto) eu achei já tô na fase da noite recomendo muito baixem rapido,5,58,3.2.0.45,2020-09-02 14:46:44
7,Laura Carolina,https://play-lh.googleusercontent.com/a-/AOh14GhJ5nrDd0j4HAvIwSIVZIRT1NSiwmWH-xCIV2M8WzA,"Jogo incrível, muito bem feito e divertido. O que estraga são os anúncios, a cada nível tem um ou dois anúncios o que irrita muito e deixa com menos vontade de jogar, entendo que é necessário na maioria das vezes mas seria bom se colocassem o mínimo possível.",4,8,3.2.0.45,2020-10-27 20:30:15
8,Renan Paes,https://play-lh.googleusercontent.com/-SMmCaGJMSRI/AAAAAAAAAAI/AAAAAAAABn4/AMZuucnsEceOZQ9zEgCxVEdq4HEi37TswQ/photo.jpg,"Superou minhas expectativas. Parece um pouco tradicional no início. Mas conforme vai avançando os níveis novas possibilidades surgem, tornando o jogo interessante e desafiador. Jogo extremamente criativo e bem planejado além de ser amplo mesmo na versão gratuita. Excelente trabalho!",5,31,3.2.0.45,2020-09-15 14:28:41
9,Paulo Sousa,https://play-lh.googleusercontent.com/-YGRUANW9yzE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclYo2OgCjAHtJ9x7WC8XZ5n9vzdYw/photo.jpg,"Esse jogo é ótimo! Sempre instalo e desistalo,mas só de pensar na musica,grafico,imagem de fundo da até arrepio! O jogo é bom de todos os angulos, mas tem só um ... tipo um level só gratis, da pra ce diverti mas uma hora se vai passar e vai ter que pagar",5,46,3.2.0.45,2020-09-04 07:13:16
10,Davie_ 467,https://play-lh.googleusercontent.com/a-/AOh14GjjdLdiVvAVgVIlMOdtICtrViJx9jaDEP4DqQ_X,"Nem consigo jogar direito pq quando vou começar um nível ou repetir um, vai lá uma publicidade de 30 sec e nem consigo pular (esse jogo não pode ser jogado com Internet ligada) e tem fases aí que é quase impossível de passar",2,0,3.2.0.45,2020-11-06 03:49:09
11,Ninja Noturno,https://play-lh.googleusercontent.com/a-/AOh14GieRJUDSnlPVJfI4lgHdZjH2QWZ0brtL8uWkDOo,"Mano eu gosto muito desse jogo, desde 2013 ;-;...mas eu acho q poderia ter uma outra versao dele sei lá algo talvez 3D? Na vdd não sei o que tô falando ele é ótimo 2D :D",5,0,3.2.0.45,2020-11-09 00:45:12
12,Jefferson Portugal,https://play-lh.googleusercontent.com/-y9Ehimj-iFo/AAAAAAAAAAI/AAAAAAAAAHo/AMZuuclQxNwpWoLaZQox8ZHAVIqeEYg6lQ/photo.jpg,"O jogo é até legal, mas ele fica o tempo todo colocando anúncios em cima de anúncios, te obrigando a adquirir a versão paga. Desinstalei!",1,0,3.2.0.45,2020-11-06 22:10:44
13,Zow Za,https://play-lh.googleusercontent.com/a-/AOh14GgAvmQLRku6UtvD01z7JMpDJOQZFF6nmq0WeYeaHg,"Gostei bastante desse jogo, é divertido pra passar o tempo, consegue não ser repetitivo. A única coisa que me deixou triste é que só tem um nivel de graça. Eu acho que poderia ter mais níveis que nos não precisariamos pagar pra jogar. Eu sei que vocês fizeram isso porquê o jogo é de graça, mas poderia ter mais níveis para quem não pode pagar. Tirando isso, o jogo e muito bom! Adoro o fundo!!!",4,180,,2020-06-10 09:22:54
14,DanielMan,https://play-lh.googleusercontent.com/a-/AOh14Giz2mgRVGdFQAw1S7mlpuJTOwVl-d3TcRVNrHQloA,"Simplesmente o melhor jogo que eu já joguei nessa quarentena, com toda sinceridade, esse jogo me tirou do tédio, é fantástico, as fases, as cores, tudo é um máximo!!!",5,3,,2020-10-09 09:16:36
15,tadeu weffort,https://play-lh.googleusercontent.com/-iU04_o9bTHc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl9QdRyY7ZjY9_Kcg3qpaVWJCGBoQ/photo.jpg,É muito bom eu fico varias horas jogando completei até um ciclo de fases mas acho que podia melhorar colocando personagens e abilidades que podem ser compradas com moedas do jogo que vc comsege nas fases. Meu nome é Pedro tenho 9 anos Tadeu é o meu pai é esse celular era dele eu não entendo muito sobre esse jogo por isso eu não consegui responder todas as perguntas embaixo.,4,120,,2020-05-15 01:13:57
16,Arthur,https://play-lh.googleusercontent.com/a-/AOh14Gi3B_9XDhdAAc4lM5mi4u4IhLVai_SmRXazOzfTjrA,"O jogo é muito bom, porém, praticamente, após o término de uma fase, tem que assistir uma propaganda.",4,0,3.2.0.45,2020-11-08 22:27:15
17,Alexandre o.roque,https://play-lh.googleusercontent.com/-ZLJ7Vr-Wgns/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnSXGZSbUo1TauogX1S7YI_xxvV3Q/photo.jpg,"Com certeza um dos melhores jogos para Android...fases difíceis, gráficos excelentes, jogabilidade simples, mas exige grande habilidade do jogador. Parabéns aos criadores. Não sou do tipo que dá opinião sobre jogos, mas esse realmente prendeu minha atenção!!! FANTÁSTICO",5,155,3.2.0.45,2020-07-20 17:58:42
18,Lyandrhu S.B,https://play-lh.googleusercontent.com/a-/AOh14GhkZEFiw6HDDypx61iB8pg3h7bUPy5jCIxU52S_Qw,"O jogo é grátis no Android, mas no iOS é pago. No iOS tem o Badland 2, mas no Android Só tem o 1. Acho que está equilibrado.... Jogo muito bom! Recomendo.",5,0,3.2.0.45,2020-09-24 19:37:58
19,Giovanni D Giacomo,https://play-lh.googleusercontent.com/-enr2BJ3l7ac/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnJ2zH8xKwS_WHmb0aR-9SNu_X1Cw/photo.jpg,"Amo esse joguinho. Jogabilidade é ótima. Ambientação perfeita, completar os desafios é bem desafiador e divertido. Badlands é perfeito.",5,1,3.2.0.8,2020-09-26 09:29:42
20,Rouse Qj,https://play-lh.googleusercontent.com/a-/AOh14GgSlemoaTtq7YKCrtz4kRk-49uKJ1si1v9tghsF,"Joguei ele no ps3 e amei as fases musicais são umas das melhores, zerei ele no ps3 zerar ele no celular vai ser uma otima experiencia os graficos são muito bonitinhos não irei comentar sobre nenhum erro porque não existe nada pra melhorar nesse jogo por isso que eu amo ele",5,0,,2020-08-30 19:44:55
21,Gustavo Kaique,https://play-lh.googleusercontent.com/-dFy8lKnNIMs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckTYplEsQc4HtIEu00ZYTfRQb-K6A/photo.jpg,"Jogo INCRIVEL não travou nem uma vez no meu celular, o que normalmente sempre acontece com outros jogos, até mesmo com jogos com gráfico e ruins, e o gráfico e os detalhes desse jogo são perfeitos, funciona perfeitamente é super divertido e recomendo para baixarem sem dúvida alguma ♡♡♡♡♡",5,30,,2020-07-12 01:55:08
22,Lucas Krow,https://play-lh.googleusercontent.com/-Kfz1IwQHNWc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnKYY5sxMvh4n8Q3VVynO88prbEfg/photo.jpg,"Extremamente viciante, jogabilidade simples e intuitiva, trilha sonora na medida exata (não enjoa mesmo depois de horas jogando) e não dá pra deixar de elogiar a criatividade dos desenvolvedores desde os cenários, muito bem pensados, até as transformações que os clones sofrem pra passar os níveis. Destaque pros modos multiplayer, que permitem compartilhar a experiência de Badland em competição ou cooperação, tornando-o um passatempo muito mais divertido quando jogado a 2, 3 ou até 4 jogadores.",5,362,3.2.0.45,2019-05-20 17:13:16
23,Roggerio Alvarenga,https://play-lh.googleusercontent.com/a-/AOh14GjZnHFNjsoJtn1L4N1sovPs1wXAhkybACdE0sAK,Faz mais de anos que joguei as fases desse. E resolvi instalar pra jogar de novo. Percebi que continua a mesma coisa sem novas fases ou atualização.,1,2,3.2.0.45,2020-09-24 02:51:00
24,Mary Su,https://play-lh.googleusercontent.com/a-/AOh14GisK3B4f6XiHxRgvKVflyEjbfA6zk_IvHhYLtx8xg,"Um ótimo jogo de plataforma. Só é um grande problema receber a mesma pergunta para comprar a versão completa toda vez que vc completa uma fase. Além dos anúncios constantes também (e não, não adianta desligar o Wi-fi, pq ele salva alguns no seu celular). As coisas mais interessantes neste app é o design dele que lembra muito o jogo Limbo, além da ótima física dele.",4,25,3.2.0.35,2018-12-19 09:56:31
25,nAÕ Toco só Enrolo,https://play-lh.googleusercontent.com/a-/AOh14Gi553P1HwZ6AfpZ4JyA3CA6CTMxpiCy-ztO2Oa1RF4,"Excelente. Muito bem feito. Muito bom pra jogar de dois no mesmo aparelho, pois as mecanicas e os controles são facilimos e até sua avó vai aprender rápido.",5,3,3.2.0.45,2020-07-09 11:13:46
26,kauan10 fox,https://play-lh.googleusercontent.com/a-/AOh14GhfucCn0p0WWlODGgrA1V2EF-7wlQNiizy5WRSL,"o jogo é bom como todo mundo ja disse,mas está com muito anuncio eu abro o jogo tem anuncio passo de fase anuncio fecho o jogo tem vez que tambem da anuncio eu pesso que vcs tirem essa imensidade de anuncios sei que vcs tem que ganhar dinheiro mas tirem essa quantidade imensa de anuncios pfv TMJ 🌀",4,2,3.2.0.45,2020-05-21 14:26:51
27,Chara Lover,https://play-lh.googleusercontent.com/a-/AOh14GhKal2ABkzVnT0wi3ufaxV3l7T9C_PaeRBwj-eXnw,"O jogo é legal e tals, porem me da um ÓDIO que nós só jogamos um pouquinho e logo todo o resto é pago, nem pra ser um valor barato caramba",3,1,3.2.0.45,2020-10-27 14:35:05
28,Alemão ZSC,https://play-lh.googleusercontent.com/a-/AOh14GgcUlAxsnTiMVAmOfmuD_rdhlqmLFxPVnEYXn8_HA,"Muito top mano, além de dar pra escolher várias skins diferentes, também tem várias fases diferentes, e o esquema de missões como por exemplo: ""terminar a fase coletando todos os power-ups"", só ajuda as pessoas a se focarem mais no jogo, e tem um easter egg no jogo, no qual, logo no menu principal VC irá ver um Android, as vezes ele se esconde, porém, se VC clicar nele e ir para o modo ""COOP"" ou ""VERSUS"", VC e seu parceiro poderão controlar um Android no jogo. Jogo nota 10000000000",5,8,3.2.0.35,2018-12-06 20:54:49
29,Tatiane Alves- Tati,https://play-lh.googleusercontent.com/a-/AOh14GiRAEEliSqzFsthO_9vsMyoTojvBFGgkC0Nz3iYzA,O jogo seria legal... Se não tivesse propaganda de Tik Tok a cada 30 segundo que chatice. E eu não posso compra o Premium aí fica impossível de jogar. Se eu quisesse ver gente dançando no Tik Tok eu baixava o aplicativo.,2,8,,2020-07-03 15:13:50
30,loganmercury,https://play-lh.googleusercontent.com/-amZIy8UU62g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm3UI3DvA_hgVwoOOniaoE6yNuLjQ/photo.jpg,"It's a gorgeous game. The visual is amazing! The bat-like creatures are cool and the puzzles are great, but the free version comes packed with hundreds of ads. O visual é deslumbrante e a jogabilidade é interessante e agradável, mas a versão gratuita tem MUITA propaganda. A cada nível progredido e a cada par de fail tem uma de 30 segundos, e ambas as situações acontecem com frequencia. 2 minutos de jogo pra 1 minuto de propaganda FÁCIL",3,14,3.2.0.45,2019-10-24 04:57:32
31,gabriel sousa,https://play-lh.googleusercontent.com/-3Bu5J8a9Pvw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck6oxx1XvfNvC3AQXCEOh2q8XJqMQ/photo.jpg,"O jogo consegue te manter interessado msm sendo simples, pois tem gráficos muito bons e uma trilha sonora ótima, além de ter mecânicas interessantes que te divertem ao longo do jogo. Minha única critica a esse jogo é não poder jogar online com os amigos.",4,7,3.2.0.45,2020-07-11 22:20:17
32,Alexandre Rapozo,https://play-lh.googleusercontent.com/a-/AOh14Ghb8hx5RSD_LNje5AM43Byc3GdWrYUza7mE_JWCGw,"São muitos os anúncios, após cada tentativa, cada fase, muitos... O jogo é ótimo, mas essa enxurrada de propaganda tira a vontade de jogar. Com um menor número de propagandas e mais pessoas iriam instalar o jogo e continuar sem desinstalar, mais propagandas seriam visualizadas. Falta de raciocínio... Às vezes menos é mais...",1,16,3.2.0.45,2019-10-19 05:03:11
33,Eduardo Guimarães,https://play-lh.googleusercontent.com/-jovN3YlO6G0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnMJjmEj2uwuVALW07ApImSIIIsGw/photo.jpg,"O jogo é muito bom,mas tem uma quantidade absurda de anúncios.As fases são longas e divertidas,o que me levou a uma experiência divertida.Fora isso o jogo conta com um gráfico muito bonito",4,3,3.2.0.45,2020-06-13 23:12:14
34,Crítico Do Youtube,https://play-lh.googleusercontent.com/a-/AOh14GinfvPLp5pt7zSYR5t8iv0BnPke0taI8kJEslH1nA,"Badland é definitivamente um dos melhores jogos mobile que eu já joguei, tem gráficos lindos, controles cativantes, mesmo sem ter muita história a história do jogo é muito boa, e o multiplayer é igualmente perfeito. Esse é um dos poucos games que eu já vi que não tem problemas de jogabilidade. A única coisa que incomoda são os anúncios, mas tirando isso o jogo é perfeito.",5,166,3.2.0.35,2019-11-18 21:51:39
35,João Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Gj82SlJ2gR7uiK0qpjnml3N2J-fmWoONdf0IBH6,O jogo é muito bom. Só não entendi por que tem q acessar minhas mídias... Não há opção de jogar sem recusar isso. É obrigatório. Ou vc aceita ou não joga.,4,1,3.2.0.29,2020-09-08 12:02:51
36,Ju4npool,https://play-lh.googleusercontent.com/a-/AOh14Gg9L-9d0VPJRA1a2wKRwzQ-625LnBUFKytRrf1_sw,"Ótimo jogo, trilha sonora única e peculiar muito agradável em ambientes relaxantes, gráfico exepcionais e incríveis, e uma mecânica de jogo exelente. Sem dúvida irei jogar bastantes quando estiver querendo uma experiência maravilhosa. As fases são muito bem trabalhadas e desafiadoras, querendo mostrar ao jogador que pra terminar ele ira precisar de cautela. Sem exagero, é um jogo sem defeito algum.",5,135,3.2.0.45,2019-12-21 16:31:31
37,Vanessa Gomes da silva almeida da silva,https://play-lh.googleusercontent.com/--4Ct1jl7qQU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck6yWZl_UpqDgFigiKbtenrj5eJdQ/photo.jpg,"Esse jogo é incrível a jogabilidade é perfeita,os gráficos são lindos,o som é perfeito e me divirto muito jogando com meus amigos e minha família o modo versus e o coop,mas por favor parem de mostrar esse troço de BADLAND premium que cansa de ficar olhando isso deixa o jogo chato, toda hora aparece,quando eu passo de faze aparece,quando eu pergo o jogo aparece,quando eu vou jogar o jogo aparece,eu já to cansado mas se arrumarem isso eu prometo que dou 5 estrelas por favor arrumem.o jogo é ótimo.",4,11,,2019-10-14 14:58:15
38,Bruna シ,https://play-lh.googleusercontent.com/a-/AOh14GhORD8asMmbpAI9S1lkUaC1Z3bmWcUV7Khvq5yg,"O jogo em si e muito bom, tem gráficos agradáveis e uma boa jogabilidade, mas algumas fases são difíceis e acabam deixando o jogo meio enjoativo, mas mesmo assim recomendo. 🚩",4,5,,2020-07-25 23:11:30
39,Suelvys Silva,https://play-lh.googleusercontent.com/a-/AOh14Gj5lxrqAnXIwwRygshSZgsfJWfaiYRwJC2QNvxfmw,"o jogo é muito bom, mas me pareceu 3 propagandas seguidas, e mais 3 mini jogos de anúncios! isso me deixou muito desanimado pra jogar, sei que ta gratuito mas acho que não deveria passar tantos anúncios de uma só vez, o melhor a fazer se não melhorarem isso é ter que jogar offline para não ser incomodado com anuncios :-\",3,278,3.2.0.45,2019-05-21 07:47:45
40,Vitor Gamer,https://play-lh.googleusercontent.com/a-/AOh14GjlUu4YP4v1PBI-DiyawfgQJf_chtwTUpFscyjM3A,"Jogo muito bom, gostei bastante, tanto no modo solo/coop/versus, mas o unico problema do jogo é o exesso abusivo de anuncios, a cada morte vc tem que ver 30 segundos ou mais de anuncios, e não da pra pular, e não é muito bom toda vez que for jogar ter que desligar a internet",3,8,3.2.0.45,2019-11-05 08:40:32
41,Dark Senpai,https://play-lh.googleusercontent.com/a-/AOh14GgdzID8eg1eLPiCRG3qVV9aeRSQ-paZ3O4cM23K,"No início tava legal depois começa a aparecer um monte de propaganda do BADLAND Premium e sempre que eu apertasse na opção (no thanks) aparecia uma propaganda de trinta ou vinte segundos e não dava pra pular a propaganda e o negócio do BADLAND Premium não dava um minuto e BADLAND Premium , BADLAND Premium , BADLAND Premium. Espero que o (no thanks) tenha propagandas mais de boa e que demore mais para vir o negócio do BADLAND Premium essa foi a minha resenha",1,3,,2020-06-26 12:10:06
