,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Glêssa érida santos gomes Erida,https://play-lh.googleusercontent.com/-iGI6mYpnKbA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl64FC-U0MWupjfVPOT1SP6zeg1Xw/photo.jpg,"o jogo é muito bom! Mas poderia ter cores neon para dar um toque mais artísticos. E demora muito para entrar. espero que melhorem isso! então, darei uma melhor avaliação. #Euamei& recomendo. quem corcordar coloca esse # na sua avaliação. Espero ter ajudado. BJS❤❤😎😘🌸❤❤❤❤❤❤❤❤❤",4,116,14.9.4,2020-10-14 12:23:09
1,Dalila Domiciano,https://play-lh.googleusercontent.com/a-/AOh14Gjw_ZxNhyIX66kRwZFj6L2FWKlxcOcarIbSck8p,"Olá o jogo é ótimo o melhor mas hoje fui jogar e não sei pq eu perdi todos os meus desenhos que eu já tinha pintado por favor arrumem isso, agora desanimei em jogar eu não quero pintar tudo de novo me ajudem por favor o mais rápido possível edit: obrigada irei fazer isso não queria perder os desenhos q já pintei mas tbm não quero desistalar Então... ⭐⭐⭐⭐⭐",5,103,14.9.4,2020-10-12 13:41:41
2,Gislene Torres,https://play-lh.googleusercontent.com/a-/AOh14GgDsKRF1US4wqS8EhGS_-cnzLv1X7ytAb7pAPcg7Q,Tinha dado 5 estrelas pois gosto desse aplicativoas mas sumiu todos os desenhos que pintei fiquei bem chateada com isso.,2,23,14.9.4,2020-10-13 09:51:56
3,Gleide Moura,https://play-lh.googleusercontent.com/-bCpBgxvI5ZY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck8zj2IgrXJ1mvJg_steBIXrmXT_g/photo.jpg,"Eu amei tem como eu mesmo fazer os desenhos, eu recomendo para todos, só n dou 5 estrela porque ele tem muito anúncio mais tirando isso ele é um dos melhores jogos que eu já joguei e gostei",4,10,14.9.6,2020-10-21 11:48:39
4,Paulo Souza,https://play-lh.googleusercontent.com/-F6O1TaJWOP8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckR3b3cVuhpnCnNPJIx_Re5rLMCxg/photo.jpg,Meu deus me diz quen em veito esse jogo é melhir do mundo você poderia dizer muito bom mesmo instale já tenho 3 palavras para dizer parabens mesmi á qui soten 5 estrelas mais minha nota 1.000,5,0,15.0.4,2020-11-04 20:08:31
5,Maria Rosa,https://play-lh.googleusercontent.com/-AB6qIOW_0J8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmfX6dWMs2lSYfTm0WnYViOv3duvw/photo.jpg,"Esse é o melhor jogo do mundo, tem vários tipos de desenhos e todo dia tem uma nova página. Ele é muito bom💖😘😍",5,21,15.0.4,2020-10-30 21:49:24
6,mundo Da alice,https://play-lh.googleusercontent.com/a-/AOh14GgYAaOLvHmYYGQdb011PWEHTHSCa2zeyPuovYn2Lw,Eu já tinha instalado esse jogo mas minha mãe reiniciou meu celular eu procurei procurei o jogo é nada de achar e eu me lembrei que eu fiz um vídeo do jogo e mandei para minha amiga eu vi o Nome do jogo no vídeo e instalei eu já fiz muitos desenhos eu amooo esse jogo então eu recomendo para vc que está lendo jogar e muito legal e divertido,5,80,14.7.0,2020-10-06 09:54:36
7,Márcia Goularte,https://play-lh.googleusercontent.com/-xH5sKCz4BYU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclziPiISysptwVqBT9IUlS5X7CnTQ/photo.jpg,Este jogo é muito bom ele permite que você possa pintar desenhar e criar textos,5,1,14.9.6,2020-10-16 13:17:53
8,Mel Estrela,https://play-lh.googleusercontent.com/-wihXJwxipCA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclmGvgXMZ0boOOdZJyyJQohURsZeg/photo.jpg,Gosto muito desse jogo ele e muito legal eu jogo ele deis dos 7 anos de idade nele vc pode colorir desenhos fazer o seu próprio várias coisas o jogo e ótimo recomendo 😃🐼💜💜♥️♥️👍👍👍,5,52,14.4.8,2020-09-13 19:08:36
9,Mirella Cintia,https://play-lh.googleusercontent.com/-77E-qaWwxLs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmW0sbKLDLSn3562FpRkm46tuXvrQ/photo.jpg,Esse aplicativo e muito bom mais eu acho que deveria ter mais desenhos pra colorir Principalmente desenho de pessoas,4,15,14.4.4,2020-09-09 16:30:19
10,Havylla Caldeira,https://play-lh.googleusercontent.com/a-/AOh14Ghhpuufip9mDUzl6fLgbGHeQQAr1HFSjsHm4o8lvw,"Dei cinco estrelas por que o app e ótimo poucos anúncios , realmente relaxante e perfeito ,podem instalar 👑😘✨",5,19,14.7.0,2020-10-07 03:04:25
11,Lucia Ramiro,https://play-lh.googleusercontent.com/-SS7X3-oCRLw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmkAxcaIqJV4fXoqNHYXcHlDI9WkA/photo.jpg,"O jogo e muito relaxante!vc pode escolher a cor,fazer seu proprio desenho e fazer o desenho magico.É sério! instalem!!!",5,8,14.7.0,2020-10-07 09:10:35
12,Andreia Cavalcante,https://play-lh.googleusercontent.com/-9WtmZzcusdI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmKOt4xkHFYy86_nA68IaLZ8n-kew/photo.jpg,"#superviciada , esse jogo é de mais😍,só acho😕que deveria ter mais opçoes de cores , ai sim seria o melhor jogo pra colorir😝😚😘😊",5,2,14.7.0,2020-10-02 21:31:32
13,RAYANNA Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GhRTUTtur9iRqezGfFBi3Ruskd7JJOcDe-G8mQjzA,Esse jogo é muito legal e a gente não gasta folha dos cadernos,5,1,14.9.6,2020-10-14 00:02:44
14,Tatsuky-Kun Wolf,https://play-lh.googleusercontent.com/a-/AOh14Gi8nqHGdHiOKEp0t1C6i7RaPPCk69gNgL45-qVp,gostei bastante do jogo porem pelo notebook ele não funcion direito o zoom,4,0,15.0.4,2020-11-03 10:45:12
15,Carolyne Meira,https://play-lh.googleusercontent.com/-44PWUWuHsjY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnfxCQpJbgzdPrbEWuGWgO0b64ZTQ/photo.jpg,O jogo é muito bom eu amei serio e o melhor é que vc mesmo pode escolher a cor né que nem tem uns que tem que pintar com as cores que eles mandam sabe é bom esse tbm para soltar a criatividade que nem a nao tem nada para fazer da para jogar ai eu amei serio pra quem ta vendo os comentarios antes de baixar eu SUPER RESCOMENDO serio por isso eu vou dar 5 estrelas💜 acho que a unica coisa só que vcs poderiam melhorar é colocar mais opçoes de cores pq ai sim ia ser o melhor aplicativo de colorir💜,5,271,14.4.2,2020-08-17 12:41:25
16,Danilo Yamamoto,https://play-lh.googleusercontent.com/a-/AOh14GibxrjTCTZrQq9eSnuvnGwRDHbHvAZlUq16oCLAIio,"O jogo é ótimo para introduzir as pessoas no mundo das Mandalas. Mas é limitado com relação a toda a sua profundidade de autoconhecimento e expressão do eu interior. Mandala significa círculo em sânscrito e o psicólogo Jung a relacionou como o símbolo do self. Quem quiser estudar de verdade as Mandalas, convido a visitar o meu curso em bit. ly/ mandalady para se conectar de forma profunda com o poder desta arte visual milenar. @daniloyamamoto",5,342,14.4.0,2020-07-19 22:52:40
17,Giovana Fernandes,https://play-lh.googleusercontent.com/a-/AOh14Giq70qX7VMlaYHSsFYVVQ8R9o_WdvyoOvVgvMcKqg,"Gostei muito do jogo ele não trava isso e mentira vc pode criar seu próprio desenho ,vc também consegue pintar os desenhos prontos ,vc pode salvar os coloridos ,vc joga sem internet ,vc tbm pode desenhar normal ,nos desenhos vc pode colocar emoji, vc pode escrever algo muda a cor do escrito da tbm para mudar o estilo da letra ,etc V●ᴥ●V( ˘ ³˘)♥",5,356,14.3.4,2020-07-01 12:11:40
18,Geison Vieira de Aguiar viticoski,https://play-lh.googleusercontent.com/a-/AOh14Gh6mSwYHvbHMO6Us9FE0rUBPuCf2X4m7qKr_IcBbw,Esse jogo eu gostei bastante e agente pode pintar oque agente quiser,4,2,14.4.6,2020-09-09 00:44:14
19,Larissa Kramenak,https://play-lh.googleusercontent.com/a-/AOh14GjaUyodS_56xm-CQC1mUQYWjN62-Goy2aS5TG8Jjw,É um ótimo app eu amei ele desde a primeira vez que eu joguei eu simplesmente adorei o app,5,0,14.9.6,2020-10-18 01:25:31
20,Sarah Mendes,https://play-lh.googleusercontent.com/a-/AOh14Gg7Ddwp6OYGEXpIg_zOs22z9JcyqNXFtyFOJJaT_w,Classificação do jogo as cinco estrelas pois o jogo é muito bom não buga diferente de muitos jogos que eu tenho e que ainda não podia pagar Pois minha mãe não deixa por causa de minha irmã não joga esse é o melhor jogo até agora que eu já joguei quero de pintar ele minha calma não tem barulho não vem anúncio e muita gente fica reclamando de que o jogo fica bugando e fica reclamando também que fica tem que apertar um monte de vezes é uma mentira melhor jogo até agora é isso é Quem disse que não é,5,95,14.2.6,2020-07-16 10:23:37
21,•Duda Games• 2.0,https://play-lh.googleusercontent.com/a-/AOh14GiMuEkl63z8iEJ6KJUhHh1VKz8ClSwyuebyQTgpFQ,Ele e muito bom só tem muitos anúncios mas tirando isso o jogo e muito bom,4,3,14.4.4,2020-09-05 11:04:34
22,Beatriz Taveira,https://play-lh.googleusercontent.com/a-/AOh14GhcuhGWK2J6bFr43y1CwqdZDSomLiPTFzkKfKsFqw,"Eu não gostei do jogo porque buga muito, eu clico no sítio onde quero pintar e clico,clico, e clico e nada e ainda acerta noutro padrão ou lugar onde eu queria meter. Para se conseguir jogar neste jogo é preciso carregar ali com força. LAMENTO IMENSO para o jogo mas para mim é sem dúvida de esclarecimento o pior jogo que eu já joguei para as pessoas que estiverem a ver esta mensagem era melhor meterse números nos cúbiculos de desenho para ter orientação e organização.Obrigada pela experiência.😊",2,237,14.2.2,2020-05-25 12:16:06
23,Dalva lauton,https://play-lh.googleusercontent.com/-YnYcVH8tDfI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnyTW6MWW9AARynXG0eIu0fHBF7EA/photo.jpg,Eu gostei muito desse jogo mas eu entendi assim que ele tipo você pode pintar uma parte aí depois você pode pintar novamente o mesmo aos mesmo dizer que você quiser só que aí foi o que eu entendi gente se vocês instalam esse jogo querer bem legal e tudo mais para vocês até para criança de quatro anos lá Tá ok beijo bastante like tá bom gente,5,117,14.2.2,2020-05-21 20:26:53
24,Isabelle Bruni,https://play-lh.googleusercontent.com/-LzHC1yYNxlM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckkXjIaYIreTmPxGLVp2jOWqqh14w/photo.jpg,E muito bom gosto bastante so não dei a utima estrela q demora os desenhos para colorir e tirando isso e muito bom e maravilhosa .,4,3,14.4.0,2020-08-19 11:05:42
25,Hey Holmes シ,https://play-lh.googleusercontent.com/a-/AOh14GhTHpJjJxEdaEvVnSaJA3Akqp-a_BQONQY4YgFY,Amei muito esse aplicativo vc pode criar e colorir mandalas que ja tem la super recomendo o unico problema e que quando vc clica na imagem para vc colorir demora um pouco para carregar ou pode ser problema da minha net mesmo mais muito bom super recomendo,5,180,14.2.4,2020-05-26 22:59:18
